audio_path,transcription
clips/1717170707029_recording.wav,mero nam subash ho
clips/1717170997795_recording.wav,ma khana khanxu
clips/1717171131356_recording.wav,Tapaiko ghar kata ho
clips/1717171032420_recording.wav,Timi kasto chau
clips/1717171105100_recording.wav,Mero bhai school gayo
clips/1716575692036_recording.wav,Aja ramailo din cha
clips/1717170727525_recording.wav,K tapai lai padhna man parcha
clips/1716575674177_recording.wav,Ma tyo kitaab padhe
clips/1717170937653_recording.wav,K tapaile khana khanu vayo
clips/1717170784021_recording.wav,Mero saathi ko naam Sita ho
clips/1717170903685_recording.wav,Aaja pani paryo
clips/1716575730387_recording.wav,Timro janmadin kahile ho
clips/1717171094235_recording.wav,Mero man parne rang nilo ho
clips/1717170991064_recording.wav,Tyo kasto ramro phool ho
clips/1717171065844_recording.wav,Hami bihaana park jaane ho
clips/1717170888172_recording.wav,Mero mobile harayo
clips/1717170760629_recording.wav,Ma Nepali bolchu
clips/1717170769028_recording.wav,Tyo manche ko naam ke ho
clips/1717170930563_recording.wav,Tapai kahile office jaanu hunchha
clips/1717171141387_recording.wav,Maile computer sikdai chu
clips/1717170746885_recording.wav,Timro mobile kaha cha
clips/1717171015795_recording.wav,Hami padhai sanga khelkud pani garchau
clips/1717170619877_recording.wav,Aaja bazaar janey ho
clips/1717170807836_recording.wav,Timi lai khelna man parcha
clips/1717170675389_recording.wav,Maile tyo kitaab padhe ra sake
clips/1717171082260_recording.wav,Mero pet dukhyo
clips/1717170718375_recording.wav,Ma ghar janey ho
clips/1716575714760_recording.wav,Hami sathi ramailo garchau
clips/1717170652527_recording.wav,Mero ghar purano cha
clips/1717171048995_recording.wav,Mero man parne khana momo ho
clips/1717171055980_recording.wav,Aaja raat kaalo cha
clips/1717170776470_recording.wav,Maile Nepali gana sunxu
clips/1717170690181_recording.wav,Hami arko hapta janey ho
clips/1717171006613_recording.wav,Timro jagir kasto cha
clips/1717170880773_recording.wav,Mero aama ko naam Gita ho
clips/1716575760889_recording.wav,Mero umer bis barsa ho
clips/1717171072925_recording.wav,Ma gharma bistharai padhchu
clips/1717171125115_recording.wav,Timi kina parkhiraheko chau
clips/1717170947628_recording.wav,Sajak gay ho
clips/1717170737857_recording.wav,Sajak heri ho
